order_id,item_id,item,quantity,price,total_item,service_fee,order_id_software
18816,24,Slim Combo (Para 1),1,11.9,11.9,0.0,BLTHCZP1
18815,4,Chicken Tenders,1,7.6,7.6,0.0,3D9B4
18815,55,El Pelirojo Jimmy,1,10.7,10.7,0.0,3D9B4
18815,19,Patatas fritas Grandes,1,4.5,4.5,0.0,3D9B4
18815,1,Patatas fritas Pequeñas,1,2.5,2.5,0.0,3D9B4
18814,12,Sweet Home Alicante,1,11.7,11.7,0.0,34C18
18814,1,Patatas fritas Pequeñas,1,2.0,2.0,0.0,34C18
18813,20,Charles Wells,1,8.3,8.3,0.0,5596E
18813,71,Agua,2,1.0,2.0,0.0,5596E
18813,72,Coca-Cola Zero,1,1.9,1.9,0.0,5596E
18813,16,Oklahoma Umbrella,1,7.5,7.5,0.0,5596E
18813,55,El Pelirojo Jimmy,1,10.7,10.7,0.0,5596E
18813,19,Patatas fritas Grandes,2,4.5,9.0,0.0,5596E
18813,73,Coca-Cola,1,1.9,1.9,0.0,5596E
18813,7,Zima Blue,1,11.7,11.7,0.0,5596E
18812,2,Kahuna Burger,1,8.1,8.1,0.0,BF9ZEHKH
18812,74,Nestea Té Negro Limón lata 330ml.,1,1.9,1.9,0.0,BF9ZEHKH
18812,1,Patatas fritas Pequeñas,1,2.5,2.5,0.0,BF9ZEHKH
18811,75,Hamburguesa Mango Vice,1,14.5,14.5,0.0,BPMH5VDG
18810,19,Patatas fritas Grandes,1,4.5,4.5,0.0,F26F1
18810,42,Coca-Cola Sabor Original lata 330ml.,1,1.9,1.9,0.0,F26F1
18810,12,Sweet Home Alicante,1,12.3,12.3,0.0,F26F1
18809,11,Alitas,1,7.2,7.2,0.0,MWMQ7SCR
18809,25,Sweet Home Madrid,1,12.7,12.7,0.0,MWMQ7SCR
18809,2,Kahuna Burger,1,8.5,8.5,0.0,MWMQ7SCR
18809,42,Coca-Cola Sabor Original lata 330ml.,1,1.9,1.9,0.0,MWMQ7SCR
18808,60,Hamburguesa La Uno,2,14.6,29.2,0.0,BRT9LZLJ
18807,5,Tequeños,1,6.4,6.4,0.0,9057E
18807,2,Kahuna Burger,1,8.5,8.5,0.0,9057E
18806,2,Kahuna Burger,1,8.1,8.1,0.0,26442
18806,19,Patatas fritas Grandes,1,4.5,4.5,0.0,26442
18806,12,Sweet Home Alicante,1,12.3,12.3,0.0,26442
18805,51,Hamburguesa Perla Negra,2,14.3,28.6,0.0,B1KY7FPZ
18804,49,Hamburguesa El Zar,1,14.9,14.9,0.0,B8JTMSTU
18804,51,Hamburguesa Perla Negra,1,14.3,14.3,0.0,B8JTMSTU
18803,16,Oklahoma Umbrella,1,7.5,7.5,0.0,7C3C6
18803,5,Tequeños,1,6.4,6.4,0.0,7C3C6
18803,19,Patatas fritas Grandes,1,4.5,4.5,0.0,7C3C6
18803,20,Charles Wells,1,8.3,8.3,0.0,7C3C6
18802,34,Burger La Uno Basic,2,12.6,25.2,0.0,A2N8SZZ6
18802,33,Patatas Fritas,2,2.5,5.0,0.0,A2N8SZZ6
18801,6,Ned Kelly,1,10.9,10.9,0.0,733949687
18801,23,Patatas fritas S,1,2.5,2.5,0.0,733949687
18800,68,Boniato frito pequeño,1,3.5,3.5,0.0,BUGXZZ71
18800,29,Salsa X,1,1.5,1.5,0.0,BUGXZZ71
18800,2,Kahuna Burger,1,8.1,8.1,0.0,BUGXZZ71
18800,55,El Pelirojo Jimmy,1,10.7,10.7,0.0,BUGXZZ71
18800,52,Salsa Spicy,1,1.5,1.5,0.0,BUGXZZ71
18800,1,Patatas fritas Pequeñas,1,2.5,2.5,0.0,BUGXZZ71
18799,12,Sweet Home Alicante,2,12.3,24.6,0.0,733952150
18799,14,Patatas fritas L,1,4.5,4.5,0.0,733952150
18798,24,Slim Combo (Para 1),1,11.9,11.9,0.0,945D4
18798,25,Sweet Home Madrid,1,12.7,12.7,0.0,945D4
18797,12,Sweet Home Alicante,1,12.3,12.3,0.0,CAF1A
18797,5,Tequeños,1,6.4,6.4,0.0,CAF1A
18797,20,Charles Wells,1,8.3,8.3,0.0,CAF1A
18796,2,Kahuna Burger,3,8.5,25.5,0.0,M1CHDL8E
18795,24,Slim Combo (Para 1),1,11.9,11.9,0.0,133851609
18794,29,Salsa X,1,1.5,1.5,0.0,8E17C
18794,19,Patatas fritas Grandes,1,3.5,3.5,0.0,8E17C
18794,12,Sweet Home Alicante,2,11.7,23.4,0.0,8E17C
18793,35,Burger Cheesebacon,1,10.9,10.9,0.0,AQQLQ1DZ
18793,33,Patatas Fritas,1,2.5,2.5,0.0,AQQLQ1DZ
18793,40,Chicken Tenders (7 Uds.),1,7.2,7.2,0.0,AQQLQ1DZ
18792,2,Kahuna Burger,2,8.5,17.0,0.0,M8TU6H4C
18792,1,Patatas fritas Pequeñas,1,2.5,2.5,0.0,M8TU6H4C
18791,76,Patatas (Grande),1,3.5,3.5,0.0,B6G1B1SN
18791,57,Arepa La abuela Rumbera,1,10.9,10.9,0.0,B6G1B1SN
18790,68,Boniato frito pequeño,1,3.5,3.5,0.0,3346E
18790,2,Kahuna Burger,3,8.1,24.3,0.0,3346E
18790,36,Coca-Cola Zero Azúcar lata 330ml.,1,1.9,1.9,0.0,3346E
18790,1,Patatas fritas Pequeñas,1,2.5,2.5,0.0,3346E
18789,25,Sweet Home Madrid,1,12.7,12.7,0.0,A1EB5
