"CreatedTime","CreatedTimeUTC","Location","OrderID","Channel","Payment","PaymentAmount","Rebate","SubTotal","Tax","VAT","ProductNames","ItemPrice","ItemQuantities"
"2023-04-30 22:03:37+0200","2023-04-30 20:03:37","Alicante - Bazan","A5EKM1EL","Glovo","CARD",37.8,0.0,37.8,0.0,0.0,"Tequeños",990,1
"2023-04-30 22:03:37+0200","2023-04-30 20:03:37","Alicante - Bazan","A5EKM1EL","Glovo","CARD",37.8,0.0,37.8,0.0,0.0,"Papelón",0,1
"2023-04-30 21:56:48+0200","2023-04-30 19:56:48","Alicante - Periodista Rodolfo Salazar","B31D3","Uber Eats","ONLINE",24.5,0.0,37.4,0.0,2.23,"Tequenutellla PL",390,1
"2023-04-30 21:56:48+0200","2023-04-30 19:56:48","Alicante - Periodista Rodolfo Salazar","B31D3","Uber Eats","ONLINE",24.5,0.0,37.4,0.0,2.23,"Arepa Rumbera Remix",770,1
"2023-04-30 21:56:48+0200","2023-04-30 19:56:48","Alicante - Periodista Rodolfo Salazar","B31D3","Uber Eats","ONLINE",24.5,0.0,37.4,0.0,2.23,"Asada",0,1
"2023-04-30 21:56:48+0200","2023-04-30 19:56:48","Alicante - Periodista Rodolfo Salazar","B31D3","Uber Eats","ONLINE",24.5,0.0,37.4,0.0,2.23,"Sin guarnicion",0,1
"2023-04-30 21:56:48+0200","2023-04-30 19:56:48","Alicante - Periodista Rodolfo Salazar","B31D3","Uber Eats","ONLINE",24.5,0.0,37.4,0.0,2.23,"Sin Extras",0,3
"2023-04-30 21:56:48+0200","2023-04-30 19:56:48","Alicante - Periodista Rodolfo Salazar","B31D3","Uber Eats","ONLINE",24.5,0.0,37.4,0.0,2.23,"Caprichosa",1290,2
"2023-04-30 21:56:48+0200","2023-04-30 19:56:48","Alicante - Periodista Rodolfo Salazar","B31D3","Uber Eats","ONLINE",24.5,0.0,37.4,0.0,2.23,"Pan normal",0,2
"2023-04-30 21:56:48+0200","2023-04-30 19:56:48","Alicante - Periodista Rodolfo Salazar","B31D3","Uber Eats","ONLINE",24.5,0.0,37.4,0.0,2.23,"Al punto",0,2
"2023-04-30 21:56:48+0200","2023-04-30 19:56:48","Alicante - Periodista Rodolfo Salazar","B31D3","Uber Eats","ONLINE",24.5,0.0,37.4,0.0,2.23,"Patatas fritas caseras",0,2
"2023-04-30 21:56:48+0200","2023-04-30 19:56:48","Alicante - Periodista Rodolfo Salazar","B31D3","Uber Eats","ONLINE",24.5,0.0,37.4,0.0,2.23,"Hamburguesa normal",0,2
"2023-04-30 21:50:18+0200","2023-04-30 19:50:18","Alicante - Bazan","63F86","Uber Eats","ONLINE",34.6,0.0,34.6,0.0,3.15,"Chicken Tenders",770,1
"2023-04-30 21:50:18+0200","2023-04-30 19:50:18","Alicante - Bazan","63F86","Uber Eats","ONLINE",34.6,0.0,34.6,0.0,3.15,"Inglesa",1230,1
"2023-04-30 21:50:18+0200","2023-04-30 19:50:18","Alicante - Bazan","63F86","Uber Eats","ONLINE",34.6,0.0,34.6,0.0,3.15,"Pan normal",0,2
"2023-04-30 21:50:18+0200","2023-04-30 19:50:18","Alicante - Bazan","63F86","Uber Eats","ONLINE",34.6,0.0,34.6,0.0,3.15,"Al punto",0,1
"2023-04-30 21:50:18+0200","2023-04-30 19:50:18","Alicante - Bazan","63F86","Uber Eats","ONLINE",34.6,0.0,34.6,0.0,3.15,"Hamburguesa normal",0,2
"2023-04-30 21:50:18+0200","2023-04-30 19:50:18","Alicante - Bazan","63F86","Uber Eats","ONLINE",34.6,0.0,34.6,0.0,3.15,"Patatas fritas caseras",0,2
"2023-04-30 21:50:18+0200","2023-04-30 19:50:18","Alicante - Bazan","63F86","Uber Eats","ONLINE",34.6,0.0,34.6,0.0,3.15,"Sin Extras",0,2
"2023-04-30 21:50:18+0200","2023-04-30 19:50:18","Alicante - Bazan","63F86","Uber Eats","ONLINE",34.6,0.0,34.6,0.0,3.15,"LA UNO",1460,1
"2023-04-30 21:50:18+0200","2023-04-30 19:50:18","Alicante - Bazan","63F86","Uber Eats","ONLINE",34.6,0.0,34.6,0.0,3.15,"Madurada PUNTO MENOS",0,1
"2023-04-30 21:51:37+0200","2023-04-30 19:51:37","Alicante - Periodista Rodolfo Salazar","C3948","Uber Eats","ONLINE",12.9,0.0,25.8,0.0,1.18,"Caprichosa",1290,2
"2023-04-30 21:51:37+0200","2023-04-30 19:51:37","Alicante - Periodista Rodolfo Salazar","C3948","Uber Eats","ONLINE",12.9,0.0,25.8,0.0,1.18,"Pan normal",0,2
"2023-04-30 21:51:37+0200","2023-04-30 19:51:37","Alicante - Periodista Rodolfo Salazar","C3948","Uber Eats","ONLINE",12.9,0.0,25.8,0.0,1.18,"Pollo CRISPY casero",0,2
