createdtime,createdtimeutc,location,orderid,channel,payment,paymentamount,subtotal,vat,productnames,itemprice,itemquantities,discounttotal
2023-04-30 20:13:34+0200,2023-04-30 18:13:34,Alicante - Periodista Rodolfo Salazar,087,Glovo,CARD,27.6,27.6,0.0,Salsa de queso (Servidas aparte),150,1,0.0
2023-04-30 20:13:34+0200,2023-04-30 18:13:34,Alicante - Periodista Rodolfo Salazar,087,Glovo,CARD,27.6,27.6,0.0,Ranch (Servidas aparte),100,1,0.0
2023-04-30 20:13:34+0200,2023-04-30 18:13:34,Alicante - Periodista Rodolfo Salazar,087,Glovo,CARD,27.6,27.6,0.0,El Zar,1490,1,0.0
2023-04-30 20:13:34+0200,2023-04-30 18:13:34,Alicante - Periodista Rodolfo Salazar,087,Glovo,CARD,27.6,27.6,0.0,Una más de ternera gallega,250,1,0.0
2023-04-30 15:12:44+0200,2023-04-30 13:12:44,Alicante - Bazan,66D09,Uber Eats,ONLINE,14.9,27.8,1.36,Caprichosa,1290,2,0.0
2023-04-30 15:12:44+0200,2023-04-30 13:12:44,Alicante - Bazan,66D09,Uber Eats,ONLINE,14.9,27.8,1.36,Huevo Frito,100,2,0.0
2023-04-30 15:15:53+0200,2023-04-30 13:15:53,Alicante - Bazan,ANS1TBLG,Glovo,CARD,29.2,29.2,0.0,El Zar,1490,1,0.0
2023-04-30 15:15:53+0200,2023-04-30 13:15:53,Alicante - Bazan,ANS1TBLG,Glovo,CARD,29.2,29.2,0.0,Perla Negra,1430,1,0.0
2023-04-30 14:51:20+0200,2023-04-30 12:51:20,Alicante - Periodista Rodolfo Salazar,128359424,Just Eat,CARD,27.29,25.3,2.3,Arepa Sifrina,770,1,0.0
2023-04-30 14:51:20+0200,2023-04-30 12:51:20,Alicante - Periodista Rodolfo Salazar,128359424,Just Eat,CARD,27.29,25.3,2.3,Arepa Rumbera Remix,770,1,0.0
2023-04-30 14:51:20+0200,2023-04-30 12:51:20,Alicante - Periodista Rodolfo Salazar,128359424,Just Eat,CARD,27.29,25.3,2.3,Tequemix,990,1,0.0
2023-04-30 14:48:34+0200,2023-04-30 12:48:34,Alicante - Bazan,ANCNJUWD,Glovo,CARD,36.3,36.3,0.0,Ei-ou,1820,1,0.0
2023-04-30 14:48:34+0200,2023-04-30 12:48:34,Alicante - Bazan,ANCNJUWD,Glovo,CARD,36.3,36.3,0.0,Perla Negra,1430,1,0.0
2023-04-30 14:48:34+0200,2023-04-30 12:48:34,Alicante - Bazan,ANCNJUWD,Glovo,CARD,36.3,36.3,0.0,Cocacola zero bote,190,2,0.0
2023-04-30 14:39:37+0200,2023-04-30 12:39:37,Alicante - Bazan,D620E,Uber Eats,ONLINE,25.8,38.7,2.35,Tequemix,990,1,0.0
2023-04-30 14:39:37+0200,2023-04-30 12:39:37,Alicante - Bazan,D620E,Uber Eats,ONLINE,25.8,38.7,2.35,Caprichosa,1290,2,0.0
2023-04-30 14:39:37+0200,2023-04-30 12:39:37,Alicante - Bazan,D620E,Uber Eats,ONLINE,25.8,38.7,2.35,Boniato frito,150,2,0.0
2023-04-30 14:33:19+0200,2023-04-30 12:33:19,Alicante - Bazan,5C3EC,Uber Eats,ONLINE,23.6,36.5,2.15,Arepa Rumbera Remix,770,1,0.0
2023-04-30 14:33:19+0200,2023-04-30 12:33:19,Alicante - Bazan,5C3EC,Uber Eats,ONLINE,23.6,36.5,2.15,Caprichosa,1290,2,0.0
2023-04-30 14:33:19+0200,2023-04-30 12:33:19,Alicante - Bazan,5C3EC,Uber Eats,ONLINE,23.6,36.5,2.15,Mixto de patatas y boniato,150,2,0.0
2023-04-30 14:15:30+0200,2023-04-30 12:15:30,Alicante - Periodista Rodolfo Salazar,B883D,Uber Eats,ONLINE,22.8,35.7,2.08,Caprichosa,1290,2,0.0
2023-04-30 14:15:30+0200,2023-04-30 12:15:30,Alicante - Periodista Rodolfo Salazar,B883D,Uber Eats,ONLINE,22.8,35.7,2.08,Tequemix,990,1,0.0
2023-04-30 14:08:29+0200,2023-04-30 12:08:29,Alicante - Periodista Rodolfo Salazar,458,Glovo,CARD,28.7,28.7,0.0,Caprichosa,1290,1,0.0
2023-04-30 14:08:29+0200,2023-04-30 12:08:29,Alicante - Periodista Rodolfo Salazar,458,Glovo,CARD,28.7,28.7,0.0,MayoTrufa (Servidas aparte),150,1,0.0
2023-04-30 14:08:29+0200,2023-04-30 12:08:29,Alicante - Periodista Rodolfo Salazar,458,Glovo,CARD,28.7,28.7,0.0,Perla Negra,1430,1,0.0
2023-04-30 14:05:46+0200,2023-04-30 12:05:46,Alicante - Periodista Rodolfo Salazar,FEB8A,Uber Eats,ONLINE,21.4,21.4,1.94,Chicken Tenders,770,1,0.0
2023-04-30 14:05:46+0200,2023-04-30 12:05:46,Alicante - Periodista Rodolfo Salazar,FEB8A,Uber Eats,ONLINE,21.4,21.4,1.94,Beety Miranda,1270,1,0.0
2023-04-30 14:05:46+0200,2023-04-30 12:05:46,Alicante - Periodista Rodolfo Salazar,FEB8A,Uber Eats,ONLINE,21.4,21.4,1.94,Huevo Frito,100,1,0.0
2023-04-30 14:06:02+0200,2023-04-30 12:06:02,Alicante - Periodista Rodolfo Salazar,419,Glovo,CARD,14.1,14.1,0.0,Cocacola bote,190,1,0.0
2023-04-30 14:06:02+0200,2023-04-30 12:06:02,Alicante - Periodista Rodolfo Salazar,419,Glovo,CARD,14.1,14.1,0.0,Trío Criollo,1220,1,0.0
2023-04-30 13:31:52+0200,2023-04-30 11:31:52,Alicante - Bazan,FA52B,Uber Eats,ONLINE,16.3,16.3,1.48,Como Ego (para 1),1340,1,0.0
2023-04-30 13:31:52+0200,2023-04-30 11:31:52,Alicante - Bazan,FA52B,Uber Eats,ONLINE,16.3,16.3,1.48,Dos Tequenutellas,290,1,0.0
2023-04-29 23:36:23+0200,2023-04-29 21:36:23,Alicante - Bazan,ECE88,Uber Eats,ONLINE,12.9,25.8,1.18,Caprichosa,1290,2,0.0
2023-04-29 23:33:43+0200,2023-04-29 21:33:43,Alicante - Bazan,B948D,Uber Eats,ONLINE,22.8,35.7,2.08,Tequeños,990,1,0.0
2023-04-29 23:33:43+0200,2023-04-29 21:33:43,Alicante - Bazan,B948D,Uber Eats,ONLINE,22.8,35.7,2.08,Caprichosa,1290,2,0.0
2023-04-29 23:34:11+0200,2023-04-29 21:34:11,Alicante - Bazan,263DD,Uber Eats,ONLINE,23.1,23.1,2.1,Tequeños,990,1,0.0
2023-04-29 23:34:11+0200,2023-04-29 21:34:11,Alicante - Bazan,263DD,Uber Eats,ONLINE,23.1,23.1,2.1,Arepa Rumbera Remix,770,1,0.0
2023-04-29 23:34:11+0200,2023-04-29 21:34:11,Alicante - Bazan,263DD,Uber Eats,ONLINE,23.1,23.1,2.1,Patatas guarnición,150,1,0.0
2023-04-29 23:34:11+0200,2023-04-29 21:34:11,Alicante - Bazan,263DD,Uber Eats,ONLINE,23.1,23.1,2.1,Salsa Tepuy (Servidas aparte),100,4,0.0
2023-04-29 23:23:56+0200,2023-04-29 21:23:56,Alicante - Periodista Rodolfo Salazar,A7AF0,Uber Eats,ONLINE,12.9,25.8,1.18,Caprichosa,1290,2,0.0
2023-04-29 23:25:39+0200,2023-04-29 21:25:39,Alicante - Periodista Rodolfo Salazar,128335005,Just Eat,CARD,41.19,39.2,3.57,Beety Miranda,1270,2,0.0
2023-04-29 23:25:39+0200,2023-04-29 21:25:39,Alicante - Periodista Rodolfo Salazar,128335005,Just Eat,CARD,41.19,39.2,3.57,Mixto de patatas y boniato,150,2,0.0
2023-04-29 23:25:39+0200,2023-04-29 21:25:39,Alicante - Periodista Rodolfo Salazar,128335005,Just Eat,CARD,41.19,39.2,3.57,Extra Carne Madurada (dry-aged),350,2,0.0
2023-04-29 23:25:39+0200,2023-04-29 21:25:39,Alicante - Periodista Rodolfo Salazar,128335005,Just Eat,CARD,41.19,39.2,3.57,Cocacola bote,190,2,0.0
2023-04-29 23:04:27+0200,2023-04-29 21:04:27,Alicante - Bazan,B4C28,Uber Eats,ONLINE,12.9,25.8,1.18,Caprichosa,1290,2,0.0
2023-04-29 23:01:00+0200,2023-04-29 21:01:00,Alicante - Bazan,47CE3,Uber Eats,ONLINE,12.9,25.8,1.18,Caprichosa,1290,2,0.0
2023-04-29 22:49:51+0200,2023-04-29 20:49:51,Alicante - Periodista Rodolfo Salazar,128328474,Just Eat,CARD,63.69,61.7,5.62,Patatas Fritas bacon,770,1,0.0
2023-04-29 22:49:51+0200,2023-04-29 20:49:51,Alicante - Periodista Rodolfo Salazar,128328474,Just Eat,CARD,63.69,61.7,5.62,Trío Criollo,1220,1,0.0
2023-04-29 22:49:51+0200,2023-04-29 20:49:51,Alicante - Periodista Rodolfo Salazar,128328474,Just Eat,CARD,63.69,61.7,5.62,MayoBacon (Servidas aparte),150,1,0.0
2023-04-29 22:49:51+0200,2023-04-29 20:49:51,Alicante - Periodista Rodolfo Salazar,128328474,Just Eat,CARD,63.69,61.7,5.62,LA UNO,1460,1,0.0
2023-04-29 22:49:51+0200,2023-04-29 20:49:51,Alicante - Periodista Rodolfo Salazar,128328474,Just Eat,CARD,63.69,61.7,5.62,Salsa Tepuy (Servidas aparte),100,2,0.0
2023-04-29 22:49:51+0200,2023-04-29 20:49:51,Alicante - Periodista Rodolfo Salazar,128328474,Just Eat,CARD,63.69,61.7,5.62,Extra Carne Madurada (dry-aged),350,1,0.0
2023-04-29 22:49:51+0200,2023-04-29 20:49:51,Alicante - Periodista Rodolfo Salazar,128328474,Just Eat,CARD,63.69,61.7,5.62,Chicken Tenders,770,1,0.0
2023-04-29 22:49:51+0200,2023-04-29 20:49:51,Alicante - Periodista Rodolfo Salazar,128328474,Just Eat,CARD,63.69,61.7,5.62,Cheesebacon,1250,1,0.0
2023-04-29 22:25:48+0200,2023-04-29 20:25:48,Alicante - Periodista Rodolfo Salazar,2F930,Uber Eats,ONLINE,110.3,110.3,10.06,Chicken Tenders,770,1,0.0
2023-04-29 22:25:48+0200,2023-04-29 20:25:48,Alicante - Periodista Rodolfo Salazar,2F930,Uber Eats,ONLINE,110.3,110.3,10.06,La Muergana,1450,2,0.0
2023-04-29 22:25:48+0200,2023-04-29 20:25:48,Alicante - Periodista Rodolfo Salazar,2F930,Uber Eats,ONLINE,110.3,110.3,10.06,Boniato frito,150,2,0.0
2023-04-29 22:25:48+0200,2023-04-29 20:25:48,Alicante - Periodista Rodolfo Salazar,2F930,Uber Eats,ONLINE,110.3,110.3,10.06,Una más de ternera gallega,250,4,0.0
2023-04-29 22:25:48+0200,2023-04-29 20:25:48,Alicante - Periodista Rodolfo Salazar,2F930,Uber Eats,ONLINE,110.3,110.3,10.06,Queso en las patatas,150,2,0.0
2023-04-29 22:25:48+0200,2023-04-29 20:25:48,Alicante - Periodista Rodolfo Salazar,2F930,Uber Eats,ONLINE,110.3,110.3,10.06,Cocacola bote,190,1,0.0
2023-04-29 22:25:48+0200,2023-04-29 20:25:48,Alicante - Periodista Rodolfo Salazar,2F930,Uber Eats,ONLINE,110.3,110.3,10.06,LA UNO,1460,1,0.0
2023-04-29 22:25:48+0200,2023-04-29 20:25:48,Alicante - Periodista Rodolfo Salazar,2F930,Uber Eats,ONLINE,110.3,110.3,10.06,Queso Cheddar,100,1,0.0
2023-04-29 22:25:48+0200,2023-04-29 20:25:48,Alicante - Periodista Rodolfo Salazar,2F930,Uber Eats,ONLINE,110.3,110.3,10.06,Patatas Fritas bacon,770,1,0.0
2023-04-29 22:25:48+0200,2023-04-29 20:25:48,Alicante - Periodista Rodolfo Salazar,2F930,Uber Eats,ONLINE,110.3,110.3,10.06,Perla Negra,1430,2,0.0
2023-04-29 22:25:48+0200,2023-04-29 20:25:48,Alicante - Periodista Rodolfo Salazar,2F930,Uber Eats,ONLINE,110.3,110.3,10.06,Nestea bote,190,2,0.0
2023-04-29 22:29:23+0200,2023-04-29 20:29:23,Alicante - Periodista Rodolfo Salazar,09C7D,Uber Eats,ONLINE,15.5,15.5,1.4,Custom Burger,950,1,0.0
